timestamp,ssid,bssid,signal_dbm,channel,iperf3_server,iperf_direction,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent,lat,long,devicename
2025-10-14T17:55:56.459581+00:00,Bermuda,28:70:4e:dd:d0:49,-83,6,192.168.10.242,upload,9.378758641915136,,0,26.674168,-81.80483616666666,pole 13 SW
2025-10-14T17:56:09.465858+00:00,Bermuda,28:70:4e:dd:d0:49,-83,6,192.168.10.242,download,18.017090130468635,,0,26.674168,-81.80483616666666,pole 13 SW
2025-10-14T17:56:45.057442+00:00,Bermuda,28:70:4e:dd:d0:49,-72,6,192.168.10.242,upload,22.164287283285155,,0,26.674070666666665,-81.80477016666667,pole 13 SW
2025-10-14T17:56:57.351838+00:00,Bermuda,28:70:4e:dd:d0:49,-72,6,192.168.10.242,download,28.2822515873555,,0,26.674070666666665,-81.80477016666667,pole 13 SW
2025-10-14T17:57:25.833337+00:00,Bermuda,28:70:4e:dd:d0:4a,-67,49,192.168.10.242,upload,54.825019699675096,,0,26.673990333333332,-81.80483316666667,pole 13 SW
2025-10-14T17:57:38.128512+00:00,Bermuda,28:70:4e:dd:d0:4a,-67,49,192.168.10.242,download,25.454855398093557,,0,26.673990333333332,-81.80483316666667,pole 13 SW
2025-10-14T18:40:29.832593+00:00,Bermuda,9c:05:d6:e9:7e:62,-60,41,192.168.10.242,upload,56.57240002341605,,0,26.674721333333334,-81.80472366666666,Outside3
2025-10-14T18:40:42.024734+00:00,Bermuda,9c:05:d6:e9:7e:62,-60,41,192.168.10.242,download,154.81924843209825,,0,26.674721333333334,-81.80472366666666,Outside3
2025-10-14T18:41:25.002174+00:00,Bermuda,9c:05:d6:e9:7e:62,-73,41,192.168.10.242,download,138.89386676490915,,0,26.674659166666668,-81.804891,Outside3
2025-10-14T18:42:03.085463+00:00,Bermuda,9c:05:d6:e9:8b:86,-63,41,192.168.10.242,upload,37.288196797283405,,0,26.674563666666668,-81.805031,Outside1
2025-10-14T18:42:15.301151+00:00,Bermuda,9c:05:d6:e9:8b:86,-63,41,192.168.10.242,download,72.0651856924961,,0,26.674563666666668,-81.805031,Outside1
2025-10-14T18:42:58.003357+00:00,Bermuda,9c:05:d6:e9:8b:86,-73,41,192.168.10.242,upload,12.24780131576184,,0,26.674818166666668,-81.80510466666667,Outside1
2025-10-14T18:43:10.744198+00:00,Bermuda,9c:05:d6:e9:8b:86,-73,41,192.168.10.242,download,9.32242039608712,,0,26.674818166666668,-81.80510466666667,Outside1
2025-10-14T18:43:52.385515+00:00,Bermuda,9c:05:d6:e9:8b:86,-75,41,192.168.10.242,download,3.142328942782592,,0,26.674503833333333,-81.805225,Outside1
2025-10-14T18:44:33.371035+00:00,Bermuda,28:70:4e:d0:88:21,-73,1,192.168.10.242,upload,23.537805460662323,,0,26.675029333333335,-81.80503283333333,pole 14
2025-10-14T18:44:45.752160+00:00,Bermuda,28:70:4e:d0:88:21,-73,1,192.168.10.242,download,7.751229044508923,,0,26.675029333333335,-81.80503283333333,pole 14
2025-10-14T18:45:22.428249+00:00,Bermuda,28:70:4e:d0:88:21,-78,1,192.168.10.242,upload,19.29816829911728,,0,26.674270833333335,-81.80488016666666,pole 14
2025-10-14T18:45:35.187207+00:00,Bermuda,28:70:4e:d0:88:21,-78,1,192.168.10.242,download,12.360130905619668,,0,26.674270833333335,-81.80488016666666,pole 14
2025-10-14T18:46:12.774446+00:00,Bermuda,28:70:4e:d0:88:21,-66,1,192.168.10.242,upload,13.865498958526812,,0,26.674128166666666,-81.80496266666667,pole 14
2025-10-14T18:46:25.180150+00:00,Bermuda,28:70:4e:d0:88:21,-66,1,192.168.10.242,download,23.148922295599778,,0,26.674128166666666,-81.80496266666667,pole 14
2025-10-14T18:47:05.268693+00:00,Bermuda,28:70:4e:d0:88:21,-67,1,192.168.10.242,upload,19.975810277134556,,0,26.674016166666668,-81.804801,pole 14
2025-10-14T18:47:17.795754+00:00,Bermuda,28:70:4e:d0:88:21,-67,1,192.168.10.242,download,19.168269737914635,,0,26.674016166666668,-81.804801,pole 14
2025-10-14T18:47:54.362768+00:00,Bermuda,28:70:4e:d0:88:21,-68,1,192.168.10.242,upload,25.769867539696218,,0,26.673786166666666,-81.80497933333334,pole 14
2025-10-14T18:48:06.624531+00:00,Bermuda,28:70:4e:d0:88:21,-68,1,192.168.10.242,download,27.759792908937317,,0,26.673786166666666,-81.80497933333334,pole 14
2025-10-14T18:48:43.311307+00:00,Bermuda,28:70:4e:dd:d0:4a,-67,49,192.168.10.242,upload,29.96390157760108,,0,26.673815,-81.805166,pole 13 SW
2025-10-14T18:48:55.551342+00:00,Bermuda,28:70:4e:dd:d0:4a,-67,49,192.168.10.242,download,70.80850356496224,,0,26.673815,-81.805166,pole 13 SW
2025-10-14T18:49:33.771651+00:00,Bermuda,28:70:4e:d0:87:50,-69,150,192.168.10.242,upload,140.444588970572,,0,26.6737115,-81.80517083333334,pole 13 E
2025-10-14T18:49:46.016080+00:00,Bermuda,28:70:4e:d0:87:50,-69,150,192.168.10.242,download,98.1461622217738,,0,26.6737115,-81.80517083333334,pole 13 E
2025-10-14T18:50:25.211473+00:00,Bermuda,28:70:4e:d0:87:50,-62,150,192.168.10.242,upload,136.05641283707857,,0,26.673601833333333,-81.80523133333334,pole 13 E
2025-10-14T18:50:37.462514+00:00,Bermuda,28:70:4e:d0:87:50,-62,150,192.168.10.242,download,100.34735309201679,,0,26.673601833333333,-81.80523133333334,pole 13 E
2025-10-14T18:51:17.087388+00:00,Bermuda,28:70:4e:d0:87:50,-59,150,192.168.10.242,upload,131.86560414066636,,0,26.673543333333335,-81.8053145,pole 13 E
2025-10-14T18:51:29.349249+00:00,Bermuda,28:70:4e:d0:87:50,-59,150,192.168.10.242,download,105.69640414924146,,0,26.673543333333335,-81.8053145,pole 13 E
2025-10-14T18:52:10.052620+00:00,Bermuda,28:70:4e:d0:87:50,-61,150,192.168.10.242,upload,115.6240375844015,,0,26.6733645,-81.80531383333333,pole 13 E
2025-10-14T18:52:22.301184+00:00,Bermuda,28:70:4e:d0:87:50,-61,150,192.168.10.242,download,103.28142696154319,,0,26.6733645,-81.80531383333333,pole 13 E
2025-10-14T18:53:21.124885+00:00,Bermuda,28:70:4e:d0:87:50,-65,150,192.168.10.242,upload,56.18160341150707,,0,26.673497666666666,-81.80553,pole 13 E
2025-10-14T18:53:33.431240+00:00,Bermuda,28:70:4e:d0:87:50,-65,150,192.168.10.242,download,49.23078890218588,,0,26.673497666666666,-81.80553,pole 13 E
2025-10-14T18:54:22.947425+00:00,Bermuda,28:70:4e:d2:92:aa,-68,6,192.168.10.242,upload,13.845707951176971,,0,26.6733835,-81.80560266666667,pole 12 N
2025-10-14T18:54:35.765099+00:00,Bermuda,28:70:4e:d2:92:aa,-68,6,192.168.10.242,download,17.17805973936201,,0,26.6733835,-81.80560266666667,pole 12 N
2025-10-14T18:56:30.249897+00:00,Bermuda,28:70:4e:d0:88:f9,-55,1,192.168.10.242,upload,46.19909129745324,,0,26.673355166666667,-81.80576666666667,pole 11
2025-10-14T18:56:44.777623+00:00,Bermuda,28:70:4e:d0:88:f9,-55,1,192.168.10.242,download,26.501538407440616,,0,26.673355166666667,-81.80576666666667,pole 11
2025-10-14T18:57:38.647587+00:00,Bermuda,28:70:4e:d0:88:f9,-57,1,192.168.10.242,upload,35.01365344504253,,0,26.673389166666666,-81.80603116666667,pole 11
2025-10-14T18:57:51.096037+00:00,Bermuda,28:70:4e:d0:88:f9,-57,1,192.168.10.242,download,46.403601370253284,,0,26.673389166666666,-81.80603116666667,pole 11
2025-10-14T18:58:41.619375+00:00,Bermuda,28:70:4e:d0:88:fa,-56,154,192.168.10.242,upload,155.41940205027535,,0,26.673362,-81.80591033333333,pole 11
2025-10-14T18:58:54.952635+00:00,Bermuda,28:70:4e:d0:88:fa,-56,154,192.168.10.242,download,171.25942506751045,,0,26.673362,-81.80591033333333,pole 11
2025-10-14T18:59:45.578058+00:00,Bermuda,28:70:4e:d0:88:fa,-61,154,192.168.10.242,upload,110.06315237055176,,0,26.673216166666666,-81.80587733333333,pole 11
2025-10-14T18:59:57.838643+00:00,Bermuda,28:70:4e:d0:88:fa,-61,154,192.168.10.242,download,58.971611232758484,,0,26.673216166666666,-81.80587733333333,pole 11
2025-10-14T19:00:47.518239+00:00,Bermuda,28:70:4e:d0:88:fa,-64,154,192.168.10.242,upload,136.80775664725334,,0,26.673222166666665,-81.80576383333333,pole 11
2025-10-14T19:00:59.834877+00:00,Bermuda,28:70:4e:d0:88:fa,-64,154,192.168.10.242,download,74.78968504617394,,0,26.673222166666665,-81.80576383333333,pole 11
2025-10-14T19:01:51.910510+00:00,Bermuda,28:70:4e:d0:88:fa,-80,154,192.168.10.242,upload,79.77670921369749,,0,26.6731005,-81.80572566666666,pole 11
2025-10-14T19:02:04.352878+00:00,Bermuda,28:70:4e:d0:88:fa,-80,154,192.168.10.242,download,24.212585211494837,,0,26.6731005,-81.80572566666666,pole 11
2025-10-14T19:02:58.946514+00:00,Bermuda,28:70:4e:d0:88:f9,-69,1,192.168.10.242,upload,27.077633144629143,,0,26.6732255,-81.805537,pole 11
2025-10-14T19:03:12.557462+00:00,Bermuda,28:70:4e:d0:88:f9,-69,1,192.168.10.242,download,30.58639218873917,,0,26.6732255,-81.805537,pole 11
2025-10-14T19:04:02.538303+00:00,Bermuda,28:70:4e:dd:d0:4a,-61,49,192.168.10.242,upload,40.347734770963484,,0,26.673076166666668,-81.80546616666666,pole 13 SW
2025-10-14T19:04:14.990467+00:00,Bermuda,28:70:4e:dd:d0:4a,-61,49,192.168.10.242,download,24.510569741111766,,0,26.673076166666668,-81.80546616666666,pole 13 SW
2025-10-14T19:05:05.022249+00:00,Bermuda,28:70:4e:dd:d0:4a,-64,49,192.168.10.242,upload,53.759341411760964,,0,26.673113,-81.80533383333334,pole 13 SW
2025-10-14T19:05:17.318092+00:00,Bermuda,28:70:4e:dd:d0:4a,-64,49,192.168.10.242,download,19.482231210625514,,0,26.673113,-81.80533383333334,pole 13 SW
2025-10-14T19:06:08.369924+00:00,Bermuda,28:70:4e:d0:86:c3,-64,154,192.168.10.242,upload,114.23086993258774,,0,26.672845333333335,-81.805262,pole 12 W
2025-10-14T19:06:20.656306+00:00,Bermuda,28:70:4e:d0:86:c3,-64,154,192.168.10.242,download,115.23045719803736,,0,26.672845333333335,-81.805262,pole 12 W
2025-10-14T19:07:11.229519+00:00,Bermuda,28:70:4e:d0:86:c3,-61,154,192.168.10.242,upload,103.72437903978215,,0,26.672959833333334,-81.80504233333333,pole 12 W
2025-10-14T19:07:23.514467+00:00,Bermuda,28:70:4e:d0:86:c3,-61,154,192.168.10.242,download,112.39248432569626,,0,26.672959833333334,-81.80504233333333,pole 12 W
2025-10-14T19:08:13.593464+00:00,Bermuda,28:70:4e:d0:86:c3,-71,154,192.168.10.242,upload,74.6608235128552,,0,26.672973166666665,-81.804885,pole 12 W
2025-10-14T19:08:25.868088+00:00,Bermuda,28:70:4e:d0:86:c3,-71,154,192.168.10.242,download,92.7019078323088,,0,26.672973166666665,-81.804885,pole 12 W
2025-10-14T19:09:16.130369+00:00,Bermuda,28:70:4e:d0:86:c3,-79,154,192.168.10.242,upload,12.67402108825982,,0,26.6728395,-81.80462766666666,pole 12 W
