timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
20251023_170230,,,9e:05:d6:96:2c:47,-45,5785,158,Bermuda,inside2
20251023_170230,,,9c:05:d6:d6:2c:47,-45,5785,158,Bermuda Guest WIFI,inside2
20251023_170230,,,9c:05:d6:d6:20:6f,-62,5745,150,Private WIFI,inside1
20251023_170230,,,9e:05:d6:96:20:6f,-62,5745,150,Bermuda Guest WIFI,inside1
20251023_170230,,,9e:05:d6:a6:20:6f,-62,5745,150,Bermuda,Unknown
20251023_170230,,,9e:05:d6:b6:20:6f,-62,5745,150,Private WIFI,Unknown
20251023_170230,,,9e:05:d6:96:2c:46,-66,2412,1,Bermuda Guest WIFI 2G,inside2
20251023_170230,,,9c:05:d6:d6:2c:46,-67,2412,1,Bermuda 2G,inside2
20251023_170230,,,9c:05:d6:d6:11:ff,-67,5805,162,Bermuda Guest WIFI,inside3
20251023_170230,,,9e:05:d6:96:11:ff,-67,5805,162,Bermuda,inside3
20251023_170230,,,28:70:4e:23:62:7b,-71,5765,154,Bermuda Guest WIFI,inside6
20251023_170230,,,2a:70:4e:13:62:7b,-72,5765,154,Bermuda,inside6
20251023_170230,,,2a:70:4e:13:62:7a,-76,2437,6,Bermuda Guest WIFI 2G,inside6
20251023_170230,,,28:70:4e:23:62:7a,-77,2437,6,Bermuda 2G,inside6
20251023_170230,,,9e:05:d6:a6:20:6e,-79,2437,6,Bermuda Guest WIFI 2G,Unknown
20251023_170230,,,9c:05:d6:d6:20:6e,-80,2437,6,Private WIFI,inside1
20251023_170230,,,9c:05:d6:d6:25:73,-80,5220,45,Bermuda Guest WIFI,inside4
20251023_170230,,,9e:05:d6:96:25:73,-80,5220,45,Bermuda,inside4
20251023_170230,,,9e:05:d6:96:20:6e,-81,2437,6,Bermuda 2G,inside1
20251023_170230,,,9c:05:d6:d6:22:af,-82,5805,162,Bermuda Guest WIFI,inside5
20251023_170230,,,9e:05:d6:96:22:af,-83,5805,162,Bermuda,inside5
20251023_170230,,,9e:05:d6:96:25:72,-85,2412,1,Bermuda Guest WIFI 2G,inside4
20251023_170230,,,9e:05:d6:96:2c:47,-42,5785,158,Bermuda,inside2
20251023_170230,,,9c:05:d6:d6:2c:47,-42,5785,158,Bermuda Guest WIFI,inside2
20251023_170230,,,9c:05:d6:d6:2c:46,-59,2412,1,Bermuda 2G,inside2
20251023_170230,,,9e:05:d6:96:2c:46,-59,2412,1,Bermuda Guest WIFI 2G,inside2
20251023_170230,,,9c:05:d6:d6:20:6f,-60,5745,150,Private WIFI,inside1
20251023_170230,,,9e:05:d6:96:20:6f,-60,5745,150,Bermuda Guest WIFI,inside1
20251023_170230,,,9e:05:d6:a6:20:6f,-60,5745,150,Bermuda,Unknown
20251023_170230,,,9e:05:d6:b6:20:6f,-60,5745,150,Private WIFI,Unknown
20251023_170230,,,28:70:4e:23:62:7a,-73,2437,6,Bermuda 2G,inside6
20251023_170230,,,9e:05:d6:a6:20:6e,-73,2437,6,Bermuda Guest WIFI 2G,Unknown
20251023_170230,,,9c:05:d6:d6:11:ff,-73,5805,162,Bermuda Guest WIFI,inside3
20251023_170230,,,9e:05:d6:96:11:ff,-73,5805,162,Bermuda,inside3
20251023_170230,,,28:70:4e:23:62:7b,-73,5765,154,Bermuda Guest WIFI,inside6
20251023_170230,,,2a:70:4e:13:62:7b,-73,5765,154,Bermuda,inside6
20251023_170230,,,9e:05:d6:96:20:6e,-74,2437,6,Bermuda 2G,inside1
20251023_170230,,,9c:05:d6:d6:20:6e,-74,2437,6,Private WIFI,inside1
20251023_170230,,,2a:70:4e:13:62:7a,-74,2437,6,Bermuda Guest WIFI 2G,inside6
20251023_170230,,,9c:05:d6:d6:22:ae,-77,2462,11,Bermuda 2G,inside5
