timestamp,lat,long,ssid,bssid,signal_dbm,channel,channel_overlap,connected_ssid,connected_bssid,connected_rssi,site_number,iperf_direction,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:87:5f,-90,161,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,74:83:c2:9b:33:47,-41,44,4,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:22,-74,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:21,-63,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,a6:05:d6:e9:77:a6,-88,157,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:87:5f,-90,161,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:88:fa,-88,149,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Newmar7353,06:5e:3c:48:ba:92,-95,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,download,36.27580334590562,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,28:70:4e:d0:86:c3,-83,44,4,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:87:5f,-90,161,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Newmar9447,06:c8:1b:b3:68:41,-92,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,a2:05:d6:e9:8e:8e,-88,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,9c:05:d6:e9:77:a6,-89,157,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,7e:83:c2:9b:33:47,-42,44,4,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Zoomy,ba:4e:97:25:78:7f,-89,11,7,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,7a:83:c2:9b:33:47,-41,44,4,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:88:f9,-86,1,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:86:3e,-86,1,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,a6:05:d6:e9:8e:8d,-84,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,a6:05:d6:e9:8e:8e,-88,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Newmar4482,06:5e:3c:63:a7:86,-88,5,1,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Denali.5GHz.6222,02:17:1a:c5:bd:b8,-91,165,2,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Everest.5GHz.4471,02:17:1a:c5:c6:4c,-82,36,1,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Denali.6222,02:17:1a:c5:bd:b9,-90,9,1,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:f9,-85,1,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:88:f9,-85,1,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,a2:05:d6:e9:8e:7d,-92,11,7,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d2:92:aa,-80,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:88:22,-74,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,9c:05:d6:e9:8e:8d,-82,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:88:21,-63,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,9c:05:d6:e9:8e:8e,-88,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Denali.5GHz.5384,02:17:1a:c5:d6:04,-89,165,2,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,7a:83:c2:9a:33:47,-43,11,7,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:86:3e,-86,1,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Denali.5384,02:17:1a:c5:d6:05,-91,8,1,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:88:fa,-88,149,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,74:83:c2:9a:33:47,-43,11,7,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,7e:83:c2:9a:33:47,-43,11,7,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,a2:05:d6:e9:77:a6,-88,157,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Pvt.WFR_Aspen.5607,02:5e:3c:23:35:52,-85,4,1,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:88:22,-74,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:fa,-88,149,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda Guest WIFI,2e:70:4e:d0:87:5f,-90,161,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,74:83:c2:9b:33:47,-41,44,4,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:22,-74,40,6,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:88:21,-63,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,a6:05:d6:e9:77:a6,-88,157,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Private WIFI,32:70:4e:d0:87:5f,-90,161,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Bermuda,28:70:4e:d0:88:fa,-88,149,3,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
2025-05-30T16:37:01.024352,26.673649194271086,-81.80399905976672,Newmar7353,06:5e:3c:48:ba:92,-95,6,8,Bermuda,74:83:c2:9b:33:47,-69,unknown,upload,27.976538517528798,0,0
